Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
4/14/2017,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,Company believes it acted appropriately as authorized by contract or law,"Shellpoint Partners, LLC",CA,90305,,N/A,Referral,4/14/2017,Closed with explanation,Yes,No,2436165
3/30/2012,Student loan,Non-federal student loan,Repaying your loan,,,,Student Loan Finance Corporation,MN,55428,,N/A,Web,7/12/2012,Closed with explanation,Yes,No,42864
2/3/2016,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,Not given enough info to verify debt,This company refuses to provide me verification and validation of debt per my right under the FDCPA. I do not believe this debt is mine.,,"The CBE Group, Inc.",TX,752XX,,Consent provided,Web,2/3/2016,Closed with explanation,Yes,Yes,1772196
1/7/2015,Credit reporting,,Incorrect information on credit report,Account status,,,Experian Information Solutions Inc.,NV,89169,,N/A,Referral,1/23/2015,Closed with explanation,Yes,Yes,1184859
3/15/2013,Credit card,,Closing/Cancelling account,,,,FIRST NATIONAL BANK OF OMAHA,NY,11732,,N/A,Referral,3/18/2013,Closed with explanation,Yes,No,357186
7/18/2016,Credit reporting,,Incorrect information on credit report,Account status,,,"EQUIFAX, INC.",FL,33629,,N/A,Fax,7/19/2016,Closed with explanation,Yes,No,2017178
,,,,,,,,,,,,,,,,,
11/7/2014,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,U.S. BANCORP,MT,59801,,N/A,Web,11/7/2014,Closed with explanation,Yes,No,1107428
4/17/2015,Mortgage,FHA mortgage,"Application, originator, mortgage broker",,,,WELLS FARGO & COMPANY,ME,4032,,Consent not provided,Web,4/17/2015,Closed with explanation,Yes,No,1334421
3/9/2016,Credit reporting,,Incorrect information on credit report,Information is not mine,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,CA,92703,,N/A,Phone,3/9/2016,Closed with explanation,Yes,No,1823789
,,,,,,,,,,,,,,,,,
3/17/2017,Bank account or service,Checking account,"Making/receiving payments, sending money",,,Company believes it acted appropriately as authorized by contract or law,UNITED SERVICES AUTOMOBILE ASSOCIATION,WI,54005,,N/A,Referral,3/20/2017,Closed with explanation,Yes,No,2393048
3/8/2012,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,Ditech Financial LLC,CA,95361,,N/A,Web,3/23/2012,Closed without relief,Yes,No,32412
3/27/2013,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,NATIONSTAR MORTGAGE,WA,98203,,N/A,Web,3/27/2013,Closed with explanation,Yes,No,366548
,,,,,,,,,,,,,,,,,
11/18/2016,Mortgage,Conventional fixed mortgage,Settlement process and costs,,"Started the refinance of home mortgage process with cash out option on XX/XX/2016. Necessary documents were submitted by XXXX. After initial review, got good faith estimate with loan amount and closing cost. Based on this estimate, a deposit of {$350.00} was made towards appraisal. Appraisal came with lesser amount by {$5000.00}. Agreed to reduce the loan amount to that extent. However, got a revised estimate which was less by {$30000.00} and with additional closing cost towards points etc. In between got numerous revised estimates with different loan amounts and closing cost. It took more than 2 months to reach any definite closing document. Hence, want to get back the deposit of {$350.00}.",,AMERICAN NEIGHBORHOOD MORTGAGE,NJ,088XX,,Consent provided,Web,11/21/2016,Closed with monetary relief,No,No,2216206
7/16/2015,Mortgage,Conventional fixed mortgage,"Application, originator, mortgage broker",,"In XXXX, I and my ex-husband applied for a refinance & HELOC from Beneficial. The loans were granted. My ex-husband passed away XXXX XXXX. At this time I contacted a lawyer to determine my options for having my husband removed from the title to the property and mortgage. Lawyer took care of having husband removed from the title. I recently attempted to apply for refinance to remove him from the mortgage and take cash out. I learned through an attempt to refinance I was unable to refinance the property due to there is no deed from XXXX found indicating my interest in the property. The only deed filed with the XXXX County Illinois Recorder was in XXXX with the original purchase of the home in which my ex-husband was the only one listed on the deed. Beneficial did file a mortgage on XXXX, XXXX on the property. I am just outraged at this point that I took out a loan on my home, yet it was never deeded in my name as one of the rightful owners. Now I am being denied the ability to refinance at this time because I can not show that I was the rightful owner of this property prior to XXXX/XXXX/XXXX when my children quit claimed their fathers interest to me. I am just sick of this company and the way this company misleads and XXXX over customers. I am technically being forced to remain with this company because I can not secure financing with another reputable company because I have to wait anywhere from 6 - 12months to refinance, because the property I have owned for over 20 years and paying on for over 20years is considered inheritance since it was just quit claimed to me XXXX/XXXX/XXXX.",,HSBC NORTH AMERICA HOLDINGS INC.,IL,625XX,,Consent provided,Web,7/16/2015,Closed with explanation,Yes,No,1472017
11/3/2015,Debt collection,Medical,Disclosure verification of debt,Right to dispute notice not received,,Company chooses not to provide a public response,Revenue Recovery Corporation,FL,34105,,N/A,Postal mail,11/4/2015,Closed with explanation,Yes,No,1637385
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
9/17/2014,Credit card,,Delinquent account,,,,WELLS FARGO & COMPANY,OH,43062,Servicemember,N/A,Web,9/17/2014,Closed with explanation,Yes,No,1033355
10/11/2016,Mortgage,VA mortgage,"Loan servicing, payments, escrow account",,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,FREEDOM MORTGAGE COMPANY,GA,31201,,N/A,Postal mail,10/13/2016,Closed with explanation,Yes,No,2155899
,,,,,,,,,,,,,,,,,
3/31/2017,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"MUFG UNION BANK, NATIONAL ASSOCIATION",CA,92026,,Consent not provided,Web,3/31/2017,Closed with explanation,Yes,No,2411860
9/19/2013,Mortgage,FHA mortgage,"Loan servicing, payments, escrow account",,,,OCWEN LOAN SERVICING LLC,TX,75904,Servicemember,N/A,Web,9/19/2013,Closed with explanation,Yes,Yes,533820
3/23/2016,Credit reporting,,Incorrect information on credit report,Account status,,,"EQUIFAX, INC.",MD,21224,Older American,N/A,Referral,4/18/2016,Closed with explanation,Yes,No,1846988
,,,,,,,,,,,,,,,,,
7/11/2014,Credit reporting,,Incorrect information on credit report,Information is not mine,,,"EQUIFAX, INC.",SC,29673,,N/A,Web,7/11/2014,Closed with explanation,Yes,Yes,934381
6/19/2012,Student loan,Non-federal student loan,Repaying your loan,,,,"Navient Solutions, LLC.",CO,80214,,N/A,Web,6/21/2012,Closed with monetary relief,Yes,No,104285
9/2/2016,Credit card,,Late fee,,,,JPMORGAN CHASE & CO.,NE,69341,Servicemember,Consent not provided,Web,9/2/2016,Closed with explanation,Yes,No,2092228
6/5/2013,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,WELLS FARGO & COMPANY,CO,80503,,N/A,Web,6/6/2013,Closed with explanation,Yes,Yes,425606
5/8/2012,Bank account or service,Checking account,"Account opening, closing, or management",,,,WELLS FARGO & COMPANY,SD,57103,,N/A,Web,5/10/2012,Closed without relief,Yes,No,73144
7/25/2014,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",MI,49441,,N/A,Web,7/25/2014,Closed with explanation,Yes,No,953726
,,,,,,,,,,,,,,,,,
10/10/2014,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,,JPMORGAN CHASE & CO.,MI,48154,,N/A,Web,10/10/2014,Closed with explanation,Yes,Yes,1067722
12/28/2016,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,"Seterus, Inc.",CA,94539,,Consent not provided,Web,12/28/2016,Closed with explanation,Yes,No,2264069
4/21/2017,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,OCWEN LOAN SERVICING LLC,ME,4901,,Consent not provided,Web,4/21/2017,Closed with explanation,Yes,No,2446404
11/8/2016,Credit card,,Identity theft / Fraud / Embezzlement,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,SYNCHRONY FINANCIAL,OH,43953,,Consent not provided,Web,11/8/2016,Closed with non-monetary relief,Yes,No,2199687
3/4/2013,Bank account or service,Checking account,Deposits and withdrawals,,,,WELLS FARGO & COMPANY,MN,55448,,N/A,Referral,3/5/2013,Closed with explanation,Yes,No,339038
,,,,,,,,,,,,,,,,,
4/4/2014,Bank account or service,Checking account,"Making/receiving payments, sending money",,,,WHITNEY BANK - NEW ORLEANS MAIN BRANCH,LA,70003,,N/A,Referral,4/8/2014,Closed with explanation,Yes,Yes,794050
,,,,,,,,,,,,,,,,,
11/15/2012,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,"CITIBANK, N.A.",CA,94580,,N/A,Referral,11/19/2012,Closed with explanation,Yes,No,192496
6/16/2016,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,IA,50220,,Consent not provided,Web,6/16/2016,Closed with explanation,Yes,No,1970545
1/17/2015,Debt collection,"Other (i.e. phone, health club, etc.)",False statements or representation,Attempted to collect wrong amount,,,"CAINE & WEINER COMPANY, INC.",TX,75070,,N/A,Web,1/17/2015,Closed with explanation,Yes,No,1198024
4/23/2013,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",GA,30047,,N/A,Web,4/25/2013,Closed with explanation,Yes,No,389461
9/23/2015,Credit reporting,,Incorrect information on credit report,Information is not mine,,,"EQUIFAX, INC.",TX,79778,,Consent not provided,Web,9/23/2015,Closed with explanation,Yes,No,1576186
10/14/2016,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,TX,75751,,N/A,Referral,10/19/2016,Closed with explanation,Yes,Yes,2161728
11/28/2014,Credit card,,Closing/Cancelling account,,,,"CITIBANK, N.A.",MS,38652,,N/A,Postal mail,12/4/2014,Closed with explanation,Yes,No,1135236
3/21/2016,Bank account or service,Checking account,Problems caused by my funds being low,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",NJ,7604,,Consent not provided,Web,3/21/2016,Closed with monetary relief,Yes,Yes,1841482
4/6/2017,Credit card,,Other fee,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,BARCLAYS BANK DELAWARE,VA,22315,Servicemember,Consent not provided,Web,4/6/2017,Closed with explanation,Yes,No,2423410
,,,,,,,,,,,,,,,,,
8/13/2015,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,Specialized Loan Servicing LLC,CA,92101,,Other,Web,8/14/2015,Closed with explanation,Yes,No,1516722
4/24/2013,Bank account or service,Checking account,Deposits and withdrawals,,,,JPMORGAN CHASE & CO.,NY,11701,,N/A,Web,4/25/2013,Closed with explanation,Yes,No,390390
,,,,,,,,,,,,,,,,,
7/28/2014,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,"SELECT PORTFOLIO SERVICING, INC.",SC,29063,,N/A,Fax,8/1/2014,Closed with explanation,Yes,Yes,957559
11/14/2013,Consumer Loan,Vehicle loan,Managing the loan or lease,,,,JPMORGAN CHASE & CO.,RI,2840,,N/A,Web,11/18/2013,Closed with monetary relief,Yes,No,598206
,,,,,,,,,,,,,,,,,
1/4/2013,Credit card,,Billing disputes,,,,"CITIBANK, N.A.",IN,47586,,N/A,Referral,1/7/2013,Closed with explanation,Yes,No,223071
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
8/10/2013,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,,CAPITAL ONE FINANCIAL CORPORATION,CA,96701,,N/A,Web,8/13/2013,Closed with explanation,Yes,No,486251
3/4/2014,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,OCWEN LOAN SERVICING LLC,NJ,7724,Older American,N/A,Web,3/4/2014,Closed with explanation,Yes,No,743072
4/6/2016,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",LA,70129,,Consent not provided,Web,4/6/2016,Closed with explanation,Yes,Yes,1866334
7/14/2016,Debt collection,Mortgage,Disclosure verification of debt,Not given enough info to verify debt,,Company believes it acted appropriately as authorized by contract or law,"SELECT PORTFOLIO SERVICING, INC.",MA,2468,,N/A,Postal mail,7/15/2016,Closed with explanation,Yes,No,2012532
4/1/2014,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,"SUNTRUST BANKS, INC.",GA,30067,Older American,N/A,Referral,4/4/2014,Closed with explanation,Yes,No,788851
9/4/2016,Debt collection,"Other (i.e. phone, health club, etc.)",Communication tactics,Called after sent written cease of comm,,,Alorica Inc.,IN,468XX,,Other,Web,9/6/2016,Closed with explanation,Yes,Yes,2095531
12/2/2014,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,,,U.S. BANCORP,NC,28401,,N/A,Web,12/2/2014,Closed with explanation,Yes,No,1138195
,,,,,,,,,,,,,,,,,
11/18/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,JPMORGAN CHASE & CO.,TN,37075,,N/A,Postal mail,11/19/2013,Closed with explanation,Yes,No,602465
2/11/2017,Credit reporting,,Incorrect information on credit report,Information is not mine,I attempted to open a XXXX XXXX account on XXXX XXXX 2017 and I was unable to due to misinformation on my credit report. They advised me to resolve the issue by disputing this information that is not mine and I am doing so. I also would like to say I had been a victim of consumer fraud and want to be issued protection from others being able to access my information for their own personal gain. I am in a position in which I can not even open an account because of this fradulent act against me and I need to recieve proper treatment.,,"EARLY WARNING SERVICES, LLC",CA,900XX,,Consent provided,Web,2/15/2017,Closed with explanation,Yes,Yes,2340027
1/29/2012,Mortgage,Other mortgage,"Application, originator, mortgage broker",,,,"QUICKEN LOANS, INC.",CA,92201,,N/A,Web,2/28/2012,Closed with relief,Yes,Yes,18253
4/26/2016,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"SUNTRUST BANKS, INC.",NC,28428,,N/A,Referral,4/28/2016,Closed with explanation,Yes,No,1896727
7/22/2015,Credit reporting,,Improper use of my credit report,Report improperly shared by CRC,"Experian allowed XXXX to pull a hard credit inquiry without my permission. This was done by the XXXX store on XXXX XXXX in XXXX, SC. The store employee who did this was XXXX. After my credit was pulled, she tried to get this reversed. I want this credit pull to be removed from my credit report immediately!",Company chooses not to provide a public response,Experian Information Solutions Inc.,SC,296XX,,Consent provided,Web,7/22/2015,Closed with non-monetary relief,Yes,No,1480692
4/19/2017,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,TD BANK US HOLDING COMPANY,VT,5488,"Older American, Servicemember",Other,Web,4/19/2017,Closed with explanation,Yes,No,2440350
7/20/2015,Mortgage,FHA mortgage,"Loan servicing, payments, escrow account",,"I had an FHA loan at US Bank that was paid off on XXXX XXXX 2015. On paying the loan off on the XXXX XXXX instead of XXXX XXXX I was charged {$1000.00} interest fee. I spoke to US Bank in regards to this and was informed that they were unwilling to refund the charge of {$1000.00} even though the interest charged was the EXACT same day as the loan was paid off. I feel that a {$1000.00} charge for paying off a mortgage loan 2 days into the month is, for better words, a scam.",Company chooses not to provide a public response,U.S. BANCORP,TN,370XX,,Consent provided,Web,7/20/2015,Closed with explanation,Yes,No,1474887
4/16/2017,Debt collection,Auto,False statements or representation,Attempted to collect wrong amount,,Company believes it acted appropriately as authorized by contract or law,"American Credit Acceptance, LLC",TX,76210,,Consent not provided,Web,4/16/2017,Closed with explanation,Yes,No,2437313
3/17/2017,Debt collection,Credit card,Disclosure verification of debt,Not given enough info to verify debt,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",LA,71292,,Consent not provided,Web,3/18/2017,Closed with non-monetary relief,Yes,No,2389782
4/18/2017,Student loan,Non-federal student loan,Can't repay my loan,Can't decrease my monthly payments,,,JPMORGAN CHASE & CO.,MD,20772,,N/A,Referral,4/19/2017,Closed with explanation,Yes,No,2439594
5/12/2013,Credit reporting,,Incorrect information on credit report,Account terms,,,"EQUIFAX, INC.",GA,39817,,N/A,Web,5/14/2013,Closed with non-monetary relief,Yes,No,404246
4/5/2017,Other financial service,Credit repair,Fraud or scam,,"i was tolled i would have a credit score of XXXX at the end of six months.by the Customer Support Specialist worked on my case. which she no longer works their.. in fact they lowered my score ... nothing changed. they keep disputing things that i was paying on like my car payment, my credit card, etc. they company is parkview credit.",Company disputes the facts presented in the complaint,Park View Credit,MI,488XX,Servicemember,Consent provided,Web,4/5/2017,Closed with explanation,Yes,No,2417763
12/15/2014,Mortgage,Conventional fixed mortgage,Settlement process and costs,,,,OCWEN LOAN SERVICING LLC,NY,11216,,N/A,Web,12/15/2014,Closed with explanation,Yes,Yes,1156178
6/8/2015,Prepaid card,General purpose card,Fraud or scam,,,,PAYPAL HOLDINGS INC.,AL,36853,,Consent not provided,Web,6/11/2015,Closed with non-monetary relief,Yes,No,1410684
7/12/2013,Credit reporting,,Unable to get credit report/credit score,Problem getting my free annual report,,,Experian Information Solutions Inc.,FL,32174,Older American,N/A,Web,7/12/2013,Closed with non-monetary relief,Yes,Yes,456041
3/4/2017,Debt collection,Credit card,Disclosure verification of debt,Not given enough info to verify debt,,,"ONEMAIN FINANCIAL HOLDINGS, LLC.",NC,27597,,Consent not provided,Web,3/4/2017,Closed with explanation,Yes,No,2371691
,,,,,,,,,,,,,,,,,
4/17/2017,Bank account or service,Checking account,Problems caused by my funds being low,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",NY,11221,,N/A,Referral,4/18/2017,Closed with explanation,Yes,No,2437915
6/16/2016,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",FL,33311,,N/A,Referral,6/17/2016,Closed with explanation,Yes,No,1973040
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
11/22/2014,Bank account or service,Checking account,"Account opening, closing, or management",,,,JPMORGAN CHASE & CO.,TX,77065,,N/A,Web,11/22/2014,Closed with explanation,Yes,No,1125242
2/10/2015,Money transfers,Domestic (US) money transfer,Fraud or scam,,,,MONEYGRAM PAYMENT SYSTEMS WORLDWIDE INC,MI,49022,Older American,N/A,Web,2/10/2015,Closed with monetary relief,Yes,No,1232991
1/20/2015,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,,NATIONSTAR MORTGAGE,DE,19901,,N/A,Web,1/20/2015,Closed with explanation,Yes,No,1200385
7/21/2016,Credit reporting,,Incorrect information on credit report,Information is not mine,"Experian is reporting an address that is not mine. I have disputed this incorrect information on many occasions and I have not have any success getting this incorrect information remove from my credit report. The incorrect address is the XXXX XXXX XXXX, XXXX, GA address.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,GA,303XX,,Consent provided,Web,7/21/2016,Closed with non-monetary relief,Yes,No,2022864
1/29/2017,Credit reporting,,Incorrect information on credit report,Personal information,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,FL,32003,,Consent not provided,Web,1/29/2017,Closed with non-monetary relief,Yes,No,2316532
,,,,,,,,,,,,,,,,,
4/7/2017,Mortgage,Other mortgage,Other,,,,OCWEN LOAN SERVICING LLC,WA,98223,,N/A,Postal mail,4/7/2017,Closed with explanation,Yes,No,2424942
,,,,,,,,,,,,,,,,,
3/27/2012,Credit card,,Billing disputes,,,,WELLS FARGO & COMPANY,MA,1507,,N/A,Referral,3/28/2012,Closed without relief,Yes,No,42126
6/26/2014,Bank account or service,Checking account,Problems caused by my funds being low,,,,PNC Bank N.A.,,,,N/A,Referral,7/1/2014,Closed with monetary relief,Yes,No,913460
10/3/2014,Consumer Loan,Vehicle loan,Shopping for a loan or lease,,,,DriveTime,TN,38053,,N/A,Web,10/3/2014,Closed with explanation,Yes,No,1056607
12/30/2013,Credit reporting,,Incorrect information on credit report,Account status,,,"EQUIFAX, INC.",TX,76116,Servicemember,N/A,Postal mail,1/9/2014,Closed with non-monetary relief,Yes,No,651819
3/30/2016,Credit reporting,,Incorrect information on credit report,Account status,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,OR,97401,,Consent not provided,Web,3/30/2016,Closed with explanation,Yes,No,1856464
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
4/15/2016,Credit card,,Identity theft / Fraud / Embezzlement,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,BARCLAYS BANK DELAWARE,NY,11743,,Consent not provided,Web,4/15/2016,Closed with explanation,Yes,Yes,1882031
,,,,,,,,,,,,,,,,,
2/11/2016,Consumer Loan,Installment loan,Problems when you are unable to pay,,,,"ONEMAIN FINANCIAL HOLDINGS, LLC.",MS,39601,,Consent not provided,Web,2/17/2016,Closed with explanation,Yes,No,1783138
,,,,,,,,,,,,,,,,,
5/22/2015,Consumer Loan,Installment loan,Managing the loan or lease,,,,TD BANK US HOLDING COMPANY,GA,30327,,Consent not provided,Web,5/28/2015,Closed with explanation,Yes,No,1389554
10/10/2014,Bank account or service,Checking account,Using a debit or ATM card,,,,WELLS FARGO & COMPANY,,,,N/A,Phone,10/16/2014,Closed with explanation,Yes,No,1066777
,,,,,,,,,,,,,,,,,
5/29/2012,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,"Seterus, Inc.",GA,30080,,N/A,Web,6/1/2012,Closed with explanation,Yes,Yes,88233
3/6/2014,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,FIFTH THIRD FINANCIAL CORPORATION,FL,34237,,N/A,Referral,3/10/2014,Closed with explanation,Yes,No,746036
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
10/25/2012,Mortgage,Conventional adjustable mortgage (ARM),"Loan servicing, payments, escrow account",,,,OCWEN LOAN SERVICING LLC,MO,63021,Older American,N/A,Web,10/25/2012,Closed with explanation,Yes,No,177628
1/22/2016,Credit card,,Billing disputes,,,,SYNCHRONY FINANCIAL,CO,80218,,Consent not provided,Web,1/29/2016,Closed with non-monetary relief,Yes,No,1753262
3/16/2017,Student loan,Federal student loan servicing,Can't repay my loan,Can't decrease my monthly payments,,,"Navient Solutions, LLC.",TX,77083,,Consent not provided,Web,3/16/2017,Closed with explanation,Yes,No,2390667
3/21/2013,Mortgage,Conventional adjustable mortgage (ARM),Credit decision / Underwriting,,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",,,,N/A,Phone,3/22/2013,Closed with non-monetary relief,Yes,Yes,362556
4/27/2012,Bank account or service,Checking account,Deposits and withdrawals,,,,"SANTANDER BANK, NATIONAL ASSOCIATION",NY,11219,,N/A,Referral,4/27/2012,Closed without relief,Yes,No,66969
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
11/5/2014,Mortgage,Conventional fixed mortgage,"Application, originator, mortgage broker",,,,HSBC NORTH AMERICA HOLDINGS INC.,OH,44110,,N/A,Web,11/5/2014,Closed with explanation,Yes,Yes,1103130
4/5/2012,Credit card,,APR or interest rate,,,,CAPITAL ONE FINANCIAL CORPORATION,KS,67010,,N/A,Web,4/6/2012,Closed without relief,Yes,No,43679
9/22/2014,Credit reporting,,Incorrect information on credit report,Personal information,,,Experian Information Solutions Inc.,SD,57401,Older American,N/A,Web,9/22/2014,Closed with non-monetary relief,Yes,No,1039365
1/18/2017,Bank account or service,Other bank product/service,"Account opening, closing, or management",,After 2 years of service with no issues Coinbase closed my account for no reason and furthermore refused to give me a reason despite dozens of request through their support channels. I first signed up with them XX/XX/2014. By forcing me to sell my bitcoin I missed out on hundreds of dollars in gains in the market and lost the ability to use my shift debit card that I paid {$20.00} for.,Company believes it acted appropriately as authorized by contract or law,"Coinbase, Inc.",TX,770XX,,Consent provided,Web,1/19/2017,Closed with explanation,Yes,Yes,2291872
6/28/2013,Credit card,,APR or interest rate,,,,"CITIBANK, N.A.",CA,92107,,N/A,Web,7/1/2013,Closed with monetary relief,Yes,No,446256
